"No.","Origianl Protein Name","User-specified Protein Name","PDB ID","Test Compounds","Docking Scores (pKd/pKi)"
55,4DRI,4DRI,4DRI,9852086,8.355
56,4H6J,4H6J,4H6J,94275,nan
57,4H6J,4H6J,4H6J,9548595,nan
58,4H6J,4H6J,4H6J,95997,nan
59,4H6J,4H6J,4H6J,985,nan
60,4H6J,4H6J,4H6J,9852086,nan
61,4I8V,4I8V,4I8V,94275,6.986
62,4I8V,4I8V,4I8V,9548595,8.387
63,4I8V,4I8V,4I8V,95997,4.326
64,4I8V,4I8V,4I8V,985,6.122
65,4I8V,4I8V,4I8V,9852086,8.231
66,4O1V,4O1V,4O1V,94275,nan
67,4O1V,4O1V,4O1V,9548595,nan
68,4O1V,4O1V,4O1V,95997,nan
69,4O1V,4O1V,4O1V,985,nan
70,4O1V,4O1V,4O1V,9852086,nan
71,4OEE,4OEE,4OEE,94275,4.552
72,4OEE,4OEE,4OEE,9548595,5.306
73,4OEE,4OEE,4OEE,95997,3.045
74,4OEE,4OEE,4OEE,985,5.030
75,4OEE,4OEE,4OEE,9852086,5.434
76,4QBS,4QBS,4QBS,94275,4.506
77,4QBS,4QBS,4QBS,9548595,5.382
78,4QBS,4QBS,4QBS,95997,3.263
79,4QBS,4QBS,4QBS,985,4.901
80,4QBS,4QBS,4QBS,9852086,6.713
81,4QLI,4QLI,4QLI,94275,5.544
82,4QLI,4QLI,4QLI,9548595,7.792
83,4QLI,4QLI,4QLI,95997,3.621
84,4QLI,4QLI,4QLI,985,5.404
85,4QLI,4QLI,4QLI,9852086,8.153
86,4XDX,4XDX,4XDX,94275,nan
87,4XDX,4XDX,4XDX,9548595,nan
88,4XDX,4XDX,4XDX,95997,nan
89,4XDX,4XDX,4XDX,985,nan
90,4XDX,4XDX,4XDX,9852086,nan
91,5D7F,5D7F,5D7F,94275,4.541
92,5D7F,5D7F,5D7F,9548595,5.216
93,5D7F,5D7F,5D7F,95997,3.054
94,5D7F,5D7F,5D7F,985,5.090
95,5D7F,5D7F,5D7F,9852086,5.813
96,5E0U,5E0U,5E0U,94275,nan
97,5E0U,5E0U,5E0U,9548595,nan
98,5E0U,5E0U,5E0U,95997,nan
99,5E0U,5E0U,5E0U,985,nan
100,5E0U,5E0U,5E0U,9852086,nan
101,5F19,5F19,5F19,94275,6.859
102,5F19,5F19,5F19,9548595,8.376
103,5F19,5F19,5F19,95997,3.942
104,5F19,5F19,5F19,985,5.697
105,5F19,5F19,5F19,9852086,8.329
106,5HN1,5HN1,5HN1,94275,4.415
107,5HN1,5HN1,5HN1,9548595,5.489
108,5HN1,5HN1,5HN1,95997,3.232
109,5HN1,5HN1,5HN1,985,5.286
110,5HN1,5HN1,5HN1,9852086,6.459
111,5IRQ,5IRQ,5IRQ,94275,6.070
112,5IRQ,5IRQ,5IRQ,9548595,8.317
113,5IRQ,5IRQ,5IRQ,95997,3.990
114,5IRQ,5IRQ,5IRQ,985,5.866
115,5IRQ,5IRQ,5IRQ,9852086,8.243
116,5JFW,5JFW,5JFW,94275,6.494
117,5JFW,5JFW,5JFW,9548595,8.360
118,5JFW,5JFW,5JFW,95997,4.288
119,5JFW,5JFW,5JFW,985,5.896
120,5JFW,5JFW,5JFW,9852086,8.282
121,5L0R,5L0R,5L0R,94275,6.900
122,5L0R,5L0R,5L0R,9548595,8.509
123,5L0R,5L0R,5L0R,95997,4.058
124,5L0R,5L0R,5L0R,985,6.064
125,5L0R,5L0R,5L0R,9852086,8.294
126,5NJJ,5NJJ,5NJJ,94275,4.499
127,5NJJ,5NJJ,5NJJ,9548595,6.331
128,5NJJ,5NJJ,5NJJ,95997,3.139
129,5NJJ,5NJJ,5NJJ,985,5.061
130,5NJJ,5NJJ,5NJJ,9852086,6.816
131,5NRR,5NRR,5NRR,94275,nan
132,5NRR,5NRR,5NRR,9548595,nan
133,5NRR,5NRR,5NRR,95997,nan
134,5NRR,5NRR,5NRR,985,nan
135,5NRR,5NRR,5NRR,9852086,nan
136,6ESM,6ESM,6ESM,94275,5.606
137,6ESM,6ESM,6ESM,9548595,8.216
138,6ESM,6ESM,6ESM,95997,3.572
139,6ESM,6ESM,6ESM,985,5.499
140,6ESM,6ESM,6ESM,9852086,8.214
141,B2MG,B2MG,3KYO,94275,4.584
142,B2MG,B2MG,3KYO,9548595,6.704
143,B2MG,B2MG,3KYO,95997,3.462
144,B2MG,B2MG,3KYO,985,5.369
145,B2MG,B2MG,3KYO,9852086,6.975
146,BIRC5,BIRC5,2QFA,94275,5.071
147,BIRC5,BIRC5,2QFA,9548595,6.886
148,BIRC5,BIRC5,2QFA,95997,3.649
149,BIRC5,BIRC5,2QFA,985,5.327
150,BIRC5,BIRC5,2QFA,9852086,7.327
151,CALM,CALM,3EWV,94275,4.429
152,CALM,CALM,3EWV,9548595,6.352
153,CALM,CALM,3EWV,95997,3.011
154,CALM,CALM,3EWV,985,5.106
155,CALM,CALM,3EWV,9852086,7.077
156,CCL2,CCL2,1DOK,94275,4.570
157,CCL2,CCL2,1DOK,9548595,5.346
158,CCL2,CCL2,1DOK,95997,3.050
159,CCL2,CCL2,1DOK,985,4.981
160,CCL2,CCL2,1DOK,9852086,6.031
161,CCND1,CCND1,2W96,94275,4.595
162,CCND1,CCND1,2W96,9548595,7.401
163,CCND1,CCND1,2W96,95997,3.474
164,CCND1,CCND1,2W96,985,5.299
165,CCND1,CCND1,2W96,9852086,8.033
166,CD2A1,CD2A1,1BI7,94275,nan
167,CD2A1,CD2A1,1BI7,9548595,nan
168,CD2A1,CD2A1,1BI7,95997,nan
169,CD2A1,CD2A1,1BI7,985,nan
170,CD2A1,CD2A1,1BI7,9852086,nan
171,COMT,COMT,3BWY,94275,5.846
172,COMT,COMT,3BWY,9548595,8.244
173,COMT,COMT,3BWY,95997,4.302
174,COMT,COMT,3BWY,985,6.082
175,COMT,COMT,3BWY,9852086,8.220
176,E1A,E1A,2R7G,94275,4.581
177,E1A,E1A,2R7G,9548595,6.885
178,E1A,E1A,2R7G,95997,3.449
179,E1A,E1A,2R7G,985,5.198
180,E1A,E1A,2R7G,9852086,7.107
181,ESR1,ESR1,3CBP,94275,5.401
182,ESR1,ESR1,3CBP,9548595,7.698
183,ESR1,ESR1,3CBP,95997,3.617
184,ESR1,ESR1,3CBP,985,5.635
185,ESR1,ESR1,3CBP,9852086,8.306
186,FGF1,FGF1,1RG8,94275,4.534
187,FGF1,FGF1,1RG8,9548595,5.284
188,FGF1,FGF1,1RG8,95997,3.146
189,FGF1,FGF1,1RG8,985,5.203
190,FGF1,FGF1,1RG8,9852086,6.493
191,GSTM1,GSTM1,1XW6,94275,5.498
192,GSTM1,GSTM1,1XW6,9548595,7.650
193,GSTM1,GSTM1,1XW6,95997,3.892
194,GSTM1,GSTM1,1XW6,985,5.678
195,GSTM1,GSTM1,1XW6,9852086,8.193
196,I10R1,I10R1,1Y6K,94275,nan
197,I10R1,I10R1,1Y6K,9548595,nan
198,I10R1,I10R1,1Y6K,95997,nan
199,I10R1,I10R1,1Y6K,985,nan
200,I10R1,I10R1,1Y6K,9852086,nan
201,I22R2,I22R2,3G9V,94275,nan
202,I22R2,I22R2,3G9V,9548595,nan
203,I22R2,I22R2,3G9V,95997,nan
204,I22R2,I22R2,3G9V,985,nan
205,I22R2,I22R2,3G9V,9852086,nan
206,IL6RA,IL6RA,1N26,94275,4.481
207,IL6RA,IL6RA,1N26,9548595,4.930
208,IL6RA,IL6RA,1N26,95997,2.923
209,IL6RA,IL6RA,1N26,985,4.703
210,IL6RA,IL6RA,1N26,9852086,5.162
211,LIFR,LIFR,3E0G,94275,4.520
212,LIFR,LIFR,3E0G,9548595,5.079
213,LIFR,LIFR,3E0G,95997,3.177
214,LIFR,LIFR,3E0G,985,4.922
215,LIFR,LIFR,3E0G,9852086,5.684
216,MMP1,MMP1,1HFC,94275,5.127
217,MMP1,MMP1,1HFC,9548595,7.283
218,MMP1,MMP1,1HFC,95997,3.535
219,MMP1,MMP1,1HFC,985,5.358
220,MMP1,MMP1,1HFC,9852086,7.164
221,MMP3,MMP3,1HY7,94275,5.432
222,MMP3,MMP3,1HY7,9548595,7.348
223,MMP3,MMP3,1HY7,95997,3.496
224,MMP3,MMP3,1HY7,985,5.347
225,MMP3,MMP3,1HY7,9852086,8.242
226,NCAM1,NCAM1,2HAZ,94275,4.456
227,NCAM1,NCAM1,2HAZ,9548595,5.027
228,NCAM1,NCAM1,2HAZ,95997,3.030
229,NCAM1,NCAM1,2HAZ,985,4.958
230,NCAM1,NCAM1,2HAZ,9852086,5.333
231,NFKB1,NFKB1,1SVC,94275,nan
232,NFKB1,NFKB1,1SVC,9548595,nan
233,NFKB1,NFKB1,1SVC,95997,nan
234,NFKB1,NFKB1,1SVC,985,nan
235,NFKB1,NFKB1,1SVC,9852086,nan
236,NGF,NGF,1WWW,94275,nan
237,NGF,NGF,1WWW,9548595,nan
238,NGF,NGF,1WWW,95997,nan
239,NGF,NGF,1WWW,985,nan
240,NGF,NGF,1WWW,9852086,nan
241,OSTP,OSTP,3CXD,94275,4.481
242,OSTP,OSTP,3CXD,9548595,4.922
243,OSTP,OSTP,3CXD,95997,2.930
244,OSTP,OSTP,3CXD,985,4.729
245,OSTP,OSTP,3CXD,9852086,5.136
246,PAK4,PAK4,2J0I,94275,4.533
247,PAK4,PAK4,2J0I,9548595,6.756
248,PAK4,PAK4,2J0I,95997,3.228
249,PAK4,PAK4,2J0I,985,5.079
250,PAK4,PAK4,2J0I,9852086,6.615
251,PARK7,PARK7,2RK3,94275,nan
252,PARK7,PARK7,2RK3,9548595,nan
253,PARK7,PARK7,2RK3,95997,nan
254,PARK7,PARK7,2RK3,985,nan
255,PARK7,PARK7,2RK3,9852086,nan
256,PRGR,PRGR,1SQN,94275,7.301
257,PRGR,PRGR,1SQN,9548595,8.341
258,PRGR,PRGR,1SQN,95997,4.528
259,PRGR,PRGR,1SQN,985,6.499
260,PRGR,PRGR,1SQN,9852086,8.231
261,TIMP2,TIMP2,1BR9,94275,nan
262,TIMP2,TIMP2,1BR9,9548595,nan
263,TIMP2,TIMP2,1BR9,95997,nan
264,TIMP2,TIMP2,1BR9,985,nan
265,TIMP2,TIMP2,1BR9,9852086,nan
266,TLN1,TLN1,1MIZ,94275,nan
267,TLN1,TLN1,1MIZ,9548595,nan
268,TLN1,TLN1,1MIZ,95997,nan
269,TLN1,TLN1,1MIZ,985,nan
270,TLN1,TLN1,1MIZ,9852086,nan
271,TLR4,TLR4,2Z62,94275,4.536
272,TLR4,TLR4,2Z62,9548595,4.965
273,TLR4,TLR4,2Z62,95997,2.972
274,TLR4,TLR4,2Z62,985,4.711
275,TLR4,TLR4,2Z62,9852086,5.146
276,VEGFA,VEGFA,1MKK,94275,nan
277,VEGFA,VEGFA,1MKK,9548595,nan
278,VEGFA,VEGFA,1MKK,95997,nan
279,VEGFA,VEGFA,1MKK,985,nan
280,VEGFA,VEGFA,1MKK,9852086,nan
